"filename", "language", "JSON", "JavaScript", "HTML", "vue", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\WebsiteNodeServer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\webappsController\WebsiteDataSync.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 17, 34, 151
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\webappsController\WebsiteFileSync.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 2, 36, 191
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\utils\timeUtils.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 4, 5, 21
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\404.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 0, 1, 188
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\cmsScripts\FinalCms.js", "JavaScript", 0, 978, 0, 0, 0, 0, 0, 378, 152, 1508
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\cmsScripts\FinalCms_1.0.js", "JavaScript", 0, 266, 0, 0, 0, 0, 0, 4, 52, 322
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\cmsScripts\quill.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\cmsScripts\quill.snow.css", "CSS", 0, 0, 0, 0, 1035, 0, 0, 8, 245, 1288
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\data\list.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 1, 74
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\data\modifyInfo.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\ROOT\index.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\alumni\404.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\alumni\CmsComponent\head.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\alumni\data\list.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\alumni\data\modifyInfo.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\alumni\index.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\jgfy\404.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\jgfy\CmsComponent\head.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\jgfy\data\list.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\jgfy\data\modifyInfo.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\jgfy\index.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\webapps\marxism\404.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
